Numéro de station OMM,Date et heure d'observation,Direction du vent (degrés),Vitesse du vent moyen 10mn,Humidité relative (%),Visibilité horizontale (m),Nebulosité totale,Hauteur base nuages (m),Pression au niveau station,Rafale 10 dernières minutes,Précipitations 24h (mm),Nom de la station,Température (°C),T° min 24h (°C),T° max 24h (°C),Latitude,Longitude,Altitude (m),Libellé géographique,Nom département,Code département,Nom région,Code région,Mois de l'année,distance_km_poitiers
07335,2025-06-29T21:00:00+00:00,40.0,3.4,51.0,60000.0,0,,100520.0,5.0,0.0,POITIERS-BIARD,28.30000000000001,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-20T12:00:00+00:00,100.0,2.8,35.0,60000.0,0,,100540.0,6.8,0.0,POITIERS-BIARD,33.10000000000002,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-21T18:00:00+00:00,160.0,3.1,24.0,60000.0,0,,100100.0,5.6,0.0,POITIERS-BIARD,36.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-22T06:00:00+00:00,220.0,4.8,83.0,19400.0,0,450.0,100470.0,6.4,0.0,POITIERS-BIARD,19.700000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-16T06:00:00+00:00,10.0,2.4,76.0,60000.0,0,,101390.0,3.8,-0.1,POITIERS-BIARD,15.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-15T06:00:00+00:00,340.0,2.4,79.0,60000.0,0,1750.0,100930.0,4.3,0.0,POITIERS-BIARD,15.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-17T00:00:00+00:00,20.0,2.0,64.0,60000.0,0,,101120.0,2.7,0.0,POITIERS-BIARD,16.0,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-19T15:00:00+00:00,50.0,3.6,31.0,60000.0,0,,100540.0,8.8,0.0,POITIERS-BIARD,32.900000000000034,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-23T06:00:00+00:00,230.0,2.5,89.0,54150.0,0,450.0,100610.0,4.1,0.0,POITIERS-BIARD,17.100000000000023,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
07335,2025-06-26T06:00:00+00:00,230.0,6.3,86.0,19900.0,0,450.0,100360.0,9.4,-0.1,POITIERS-BIARD,19.200000000000045,,,46.593833,0.314333,123,Poitiers,Vienne,86,Nouvelle-Aquitaine,75,6,2.500087253165825
